Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq,N
TUPY3,12.54,ON,09/04/2020,TUPY ON,10.49,Material de Transporte,26.77,Material Rodoviário,15.700.800,1.807.990.000,31/12/2019,2.451.940.000,144.178.000,"-2,18%",6.48,1.93,"-4,42%",0.76,16.56,"-29,35%","4,13",16.2,"-29,03%",0.35,8.5,"-50,43%",0.35,5.4,"32,39%",1.23,8.5,"17,10%","-13,16",12.0,"62,23%",1.4,11.7,"-33,38%",3.21,2.31,"17,60%","5,60",0.62,"12,9%",1.01,5.124.170.000,2.387.400.000,149
UGPA3,14.24,ON,09/04/2020,ULTRAPAR PARTICIPAÇÕES SA ON,10.69,Holdings Diversificadas,27.46,Holdings Diversificadas,196.325.000,15.876.400.000,31/12/2019,26.652.300.000,1.114.920.000,"3,79%",42.5,0.34,"13,65%",1.68,8.48,"-7,59%","9,10",6.8,"-35,51%",0.18,2.0,"-43,41%",0.51,0.5,"-1,77%",1.61,5.6,"-27,28%","-2,52",7.5,"12,38%",3.1,3.9,"15,92%",9.23,2.9,"22,18%","15,28",1.69,"5,0%",2.86,31.195.500.000,9.458.250.000,150
UNIP6,23.85,PNB,09/04/2020,UNIPAR PARTICIPAÇÕES S.A. PNB,15.55,Químicos,42.61,Petroquímicos,7.273.190,2.332.960.000,31/12/2019,2.495.820.000,97.818.000,"4,33%",13.45,1.77,"-0,63%",1.58,15.06,"3,16%","6,09",26.8,"-27,40%",0.77,12.6,"-33,21%",0.63,5.7,"13,87%",5.52,10.3,"173,41%","-2,27",12.7,"278,55%",3.0,11.8,"65,57%",4.41,1.54,"-1,61%","6,52",0.46,"47,6%",0.82,3.718.820.000,1.473.050.000,151
USIM5,4.33,PNA N1,09/04/2020,USIMINAS PNA N1,3.8,Siderurgia e Metalurgia,11.11,Siderurgia,130.788.000,5.425.830.000,31/12/2019,8.610.930.000,1.253.080.000,"-1,37%",25.44,0.17,"-11,99%",0.39,11.21,"-34,39%","4,68",12.5,"-53,54%",0.36,7.8,"-54,47%",0.21,2.5,"4,74%",0.91,4.4,"1,79%","-2,84",5.1,"121,89%",1.8,1.5,"169,80%",4.0,3.07,"-67,40%","7,43",0.36,"13,3%",0.57,26.337.000.000,14.043.400.000,152
VALE3,43.28,ON NM,09/04/2020,VALE ON NM,34.1,Mineração,57.36,Minerais Metálicos,1.661.740.000,228.712.000.000,31/12/2019,258.928.000.000,5.284.470.000,"-0,53%",-34.28,-1.26,"0,14%",1.42,30.56,"14,41%","3,64",43.6,"-15,47%",1.54,42.3,"-18,80%",0.62,-5.9,"6,85%",17.74,17.0,"31,11%","-1,59",19.4,"62,56%",3.3,-4.1,"98,26%",3.34,1.23,"-35,73%","4,12",0.37,"15,7%",0.4,369.670.000.000,161.480.000.000,153
VLID3,9.03,ON NM,09/04/2020,VALID ON NM,6.87,Serviços,19.77,Serviços Diversos,10.671.900,643.162.000,31/12/2019,1.269.890.000,71.225.000,"8,80%",11.85,0.76,"-2,48%",0.59,15.43,"-23,93%","3,39",22.0,"-50,33%",0.32,9.4,"-46,82%",0.26,2.7,"-1,91%",1.43,7.5,"2,18%","-2,01",9.4,"-15,51%",7.8,4.9,"-40,33%",3.91,1.71,"1,33%","6,70",0.86,"4,2%",0.8,2.518.440.000,1.098.860.000,154
VVAR3,5.15,ON,09/04/2020,VIAVAREJO ON,3.84,Comércio,16.64,Eletrodomésticos,681.540.000,6.695.080.000,31/12/2019,11.232.100.000,1.300.010.000,"2,39%",-4.67,-1.1,"-2,46%",11.58,0.44,"-46,24%","7,90",28.6,"18,66%",0.26,3.3,"-53,89%",0.27,-5.6,"154,44%",-2.04,3.5,"-44,57%","-0,59",5.4,"121,23%",0.0,-247.9,"148,61%",6.49,0.79,"-79,55%","13,25",10.21,"9,2%",1.05,24.424.000.000,578.000.000,155
VULC3,4.12,ON,09/04/2020,VULCABRAS S/A. ON,3.63,"Tecidos, Vestuário e Calçados",9.34,Calçados,5.382.380,1.012.510.000,31/12/2019,993.404.000,245.756.000,"-0,96%",7.08,0.58,"1,23%",0.93,4.42,"-34,50%","6,92",34.7,"-35,83%",0.74,10.8,"-55,22%",0.75,10.5,"29,58%",1.57,10.8,"-21,98%","1,92",11.7,"279,17%",0.0,13.2,"30,43%",4.38,5.32,"64,29%","6,79",0.04,"8,1%",1.0,1.355.160.000,1.087.140.000,156
WEGE3,38.3,ON N1,09/04/2020,WEG SA ON N1,17.78,Máquinas e Equipamentos,49.59,"Motores, Compressores e Outros",350.900.000,80.378.600.000,31/12/2019,79.273.300.000,2.098.660.000,"-4,23%",49.78,0.77,"14,09%",9.22,4.15,"-3,58%","37,36",29.6,"109,47%",6.02,16.1,"10,96%",5.12,12.2,"100,56%",15.25,13.7,"-3,84%","26,76",18.8,"58,22%",1.1,18.5,"6,26%",31.11,2.17,"-3,08%","36,84",0.26,"9,1%",0.85,15.687.600.000,8.717.250.000,157
WIZS3,9.34,ON NM,09/04/2020,WIZ S.A. ON NM,6.67,Previdência e Seguros,14.91,Corretoras de Seguros,12.079.100,1.493.530.000,31/12/2019,1.447.940.000,159.907.000,"-1,16%",6.98,1.34,"3,55%",7.98,1.17,"-18,75%","3,88",71.9,"35,55%",2.19,56.5,"-27,61%",2.55,32.8,"130,34%",-12.34,65.7,"-37,19%","-5,86",77.3,"-10,54%",19.1,114.3,"49,66%",3.41,0.53,"-29,09%","3,76",0.0,"17,7%",1.16,586.297.000,187.057.000,158
YDUQ3,27.05,ON,09/04/2020,YDUQS PART ON,20.62,Diversos,56.6,Educacional,169.958.000,8.360.860.000,31/12/2019,9.403.400.000,309.089.000,"-1,46%",12.94,2.09,"22,01%",2.7,10.04,"-32,51%","9,44",57.3,"-1,17%",2.35,24.8,"-43,05%",1.52,18.1,"103,69%",10.44,16.1,"-22,47%","-8,95",18.5,"111,53%",1.9,20.8,"27,99%",7.54,2.19,"-35,67%","10,62",0.53,"5,3%",0.65,5.512.490.000,3.102.350.000,159
